annual_income_lakhs,debt_to_income,credit_history_months,num_open_accounts,num_defaults,loan_amount_lakhs,employment_years,home_ownership,credit_score_band,target
9.25,0.0,137,5,3,42.18,11,0,640,0
50.0,0.0,53,8,2,46.36,11,1,508,0
7.88,0.0,114,1,4,33.39,12,0,819,0
1.0,0.1974,33,4,1,10.67,16,0,565,1
7.85,0.0,122,3,0,5.48,14,0,448,0
1.87,0.2431,164,6,3,11.65,26,0,812,1
39.81,0.0,22,5,1,12.44,18,0,553,0
8.37,0.2695,34,0,2,5.39,7,0,900,0
1.0,0.0,85,6,2,11.2,11,0,668,1
5.9,0.0546,73,8,0,29.86,17,0,882,1
11.22,0.0,100,5,3,30.11,8,0,649,0
1.0,1.0,68,0,0,5.01,13,1,900,0
23.26,0.0,117,0,3,39.59,9,0,691,0
37.45,0.0949,42,10,1,0.5,0,1,571,1
1.07,0.8238,200,5,4,0.5,1,0,718,1
7.24,0.0,49,4,5,42.01,14,0,764,1
5.76,0.3299,15,5,2,15.03,4,1,571,1
9.84,0.0,139,9,4,11.18,1,0,742,0
3.98,0.0,124,2,1,27.53,20,0,611,0
20.23,0.2006,106,8,0,0.5,13,1,599,0
1.0,0.7531,27,4,1,11.46,16,0,864,0
1.0,0.1454,57,6,0,27.3,21,1,604,0
14.35,0.0,118,0,5,26.95,8,1,626,0
10.66,0.0,150,3,4,21.93,4,0,614,0
1.0,0.0,103,5,2,31.43,13,0,482,0
4.35,0.0,123,2,0,21.48,20,0,385,0
23.53,0.0,98,2,1,10.61,11,0,775,0
1.0,0.0,118,7,1,5.01,21,0,845,0
10.95,0.0,67,1,4,33.41,13,0,625,0
1.0,0.0999,157,2,1,14.3,10,0,540,0
14.76,0.1691,189,3,2,10.82,8,1,672,1
1.0,0.0,87,6,3,30.91,17,1,602,0
14.61,0.4101,0,1,0,7.91,9,0,883,1
11.95,0.0,54,1,3,27.61,13,0,651,1
26.89,0.0,95,0,0,21.68,19,0,656,0
25.76,0.0,175,0,4,10.53,6,0,576,1
4.98,0.0,106,4,3,11.45,27,1,386,0
25.49,0.0,94,0,1,14.57,11,0,607,0
19.25,0.0,169,1,4,22.6,0,1,771,0
1.0,0.502,91,5,2,24.06,14,1,793,0
14.36,0.6736,41,3,1,0.5,0,1,617,1
4.63,0.673,78,2,3,8.84,3,0,900,0
15.62,0.0,73,0,1,43.61,21,0,851,1
1.35,0.9077,93,2,2,0.5,4,0,569,1
1.42,0.0,153,7,5,39.07,11,0,734,0
12.73,0.0,139,2,5,46.74,9,0,748,0
28.51,0.0,132,3,1,32.77,19,1,363,0
25.21,0.0,105,4,1,15.65,24,0,300,0
1.0,0.0,143,3,4,40.17,9,0,382,0
1.0,0.7688,95,6,0,3.8,14,1,678,1
15.55,0.5661,54,6,0,0.5,4,0,754,1
1.0,1.0,175,3,0,13.51,3,1,900,0
