transaction_amount,merchant_category,time_delta_seconds,device_risk_score,location_cluster,tx_frequency_24h,avg_amount_7d,is_new_merchant,hour_of_day,is_fraud
9063.85,2,677.0,1.0,2,7,1134.32,0,0,0
15231.04,1,799.0,0.0,6,0,1508.48,0,7,0
10178.39,5,12.0,0.2279,0,8,7397.55,0,9,0
7419.65,1,182.0,0.8001,4,0,829.57,0,12,0
10189.08,15,238.0,0.0,5,0,5179.17,1,2,1
3295.39,1,361.0,0.8964,6,11,1209.89,0,7,0
12807.71,1,609.0,0.5119,10,4,12929.0,0,9,0
3516.66,10,324.0,0.121,3,6,1545.41,0,6,0
2776.41,4,775.0,0.0,9,0,10809.82,0,0,0
10423.92,1,23.0,0.8849,0,9,723.51,0,5,0
263.9,20,823.0,1.0,4,9,12110.04,0,23,1
6743.5,1,657.0,0.8376,2,7,1866.42,0,17,0
2194.38,6,491.0,0.6362,1,1,11303.56,1,20,0
9076.51,9,608.0,0.2035,4,9,1496.2,0,14,0
4329.73,11,152.0,1.0,6,0,8385.17,0,22,1
15660.97,2,187.0,0.0393,1,0,421.94,1,0,0
3499.48,7,100.0,0.031,0,5,8684.56,1,11,0
9057.96,6,211.0,0.2544,3,5,984.32,0,9,0
13093.87,1,397.0,0.1795,9,0,5244.54,0,8,0
12891.45,3,333.0,0.4682,10,5,12707.86,1,13,0
18114.68,5,360.0,0.3294,6,1,2685.57,0,20,0
14969.4,11,407.0,0.4308,0,9,8362.74,0,23,0
6507.87,1,436.0,0.5768,8,0,4916.17,0,15,1
5265.44,3,401.0,0.0,6,3,2493.95,0,0,0
8357.52,13,592.0,0.1457,0,0,6472.3,0,14,0
10586.34,2,301.0,0.726,10,8,15302.17,0,12,0
7467.7,1,556.0,0.7315,4,10,1047.56,0,1,0
12740.07,1,388.0,0.2007,10,7,10823.35,0,8,0
9202.41,14,1119.0,1.0,0,6,1319.11,0,0,0
12216.22,1,501.0,0.3708,3,8,1933.29,1,15,1
9887.14,6,39.0,0.4396,2,9,3727.24,0,10,0
14226.06,1,532.0,0.0,10,3,7568.46,0,3,0
13861.7,6,1052.0,0.0,10,12,10619.36,1,14,0
9855.04,2,189.0,0.0598,1,9,4999.21,0,6,0
6639.56,1,121.0,0.4001,4,10,1835.38,0,0,0
11570.4,1,24.0,0.7062,4,0,10590.75,0,0,0
1792.03,9,495.0,0.0,5,3,6578.04,0,1,0
9008.08,7,354.0,0.1065,0,0,9765.31,0,18,0
15303.48,1,124.0,0.5231,10,2,6429.78,0,14,0
